"SortIndex","VirtualDistance (m)","DepthOfCover (m)","ACVG_VSS_DB","Attenuation","DCVGPercentIR","CPCIPS_OnPotential","CPCIPS_InstantOffPotential","ACPSP_OnPotential","Latitude","Longitude","Pipe_Top_Elevation (m)","Pipe_Center_Elevation (m)","Pipe_Bottom_Elevation (m)","ALIASList","FeatureID","ROWALIASList","Comment"
8068,33645.9275105187,1.26000000000001,56,2.99061485772813,0,-1.082,-0.933,0.991,26.4917766628889,90.8650722411667,38.211,38.0332,37.8554,,9000,,
8069,33647.4801312033,1.286,56,2.93465319103413,0,-1.085,-0.937,0.862,26.4917785297778,90.8650876437778,38.306,38.1282,37.9504,,9000,,
8070,33649.0552598666,1.326,56,3.80508080690681,0,-1.088,-0.935,0.668,26.4917814993889,90.8651030648333,38.215,38.0372,37.8594,,9000,,
8071,33650.6808981164,1.254,58,3.20899891910841,0,-1.092,-0.938,0.543,26.4917837163889,90.8651191587222,38.131,37.9532,37.7754,,9000,,
8072,33652.3279493709,1.244,55,3.80119718944777,0,-1.092,-0.934,0.468,26.4917862084444,90.8651353982778,38.011,37.8332,37.6554,,9000,,
8073,33653.9507153435,1.258,73,3.73584101042776,0,-1.088,-0.858,0.263,26.4917887129444,90.8651514240556,37.958,37.7802,37.6024,,9000,,
8074,33655.6750111102,1.27,57,4.13464042296155,0,-1.086,-0.936,0.198,26.4917915176667,90.8651684333333,37.953,37.7752,37.5974,,9000,,
8075,33657.3501694478,1.268,55,3.42006028105592,0,-1.082,-0.927,0.071,26.4917935092222,90.8651850863333,37.942,37.7642,37.5864,,9000,,
8076,33658.9894428175,1.27200000000001,60,3.83459950643719,0,-1.077,-0.927,0.106,26.4917943958889,90.8652014941111,37.971,37.7932,37.6154,,9000,,
8077,33660.6607349116,1.222,57,4.1845907169971,0,-1.074,-0.929,0.222,26.4917960185,90.8652177530833,38.335,38.1572,37.9794,,9000,,
8078,33662.3897689391,1.192,57,3.43200357865608,0,-1.069,-0.939,0.406,26.49179897825,90.86523470725,38.49,38.3122,38.1344,,9000,,
8079,33664.0887712157,1.2,59,4.20805691211802,0,-1.072,-0.948,0.513,26.4918006145417,90.86525155875,38.664,38.4862,38.3084,,9000,,
8080,33665.9402798424,1.176,56,3.83886685467805,0,-1.075,-0.948,0.564,26.4918023840833,90.8652700220833,38.679,38.5012,38.3234,,9000,,
8081,33667.3886586376,1.164,58,4.26691948351292,0,-1.072,-0.943,0.574,26.4918034073333,90.8652844935833,38.731,38.5532,38.3754,,9000,,
8082,33669.123862239,1.186,58,3.78390269025739,0,-1.075,-0.95,0.577,26.4918050067222,90.8653017799444,38.639,38.4612,38.2834,,9000,,
8083,33670.6838975168,1.186,58,3.71723939940181,0,-1.074,-0.947,0.574,26.491806419,90.8653172654166,38.481,38.3032,38.1254,,9000,,
8084,33672.2056584211,1.142,58,3.28693942716815,0,-1.075,-0.946,0.58,26.49180965375,90.86533200925,38.642,38.4642,38.2864,,9000,,
8085,33673.7940684723,1.102,58,4.05861928727793,0,-1.074,-0.955,0.572,26.491810406,90.8653478037917,38.831,38.6532,38.4754,,9000,,
8086,33675.2464089986,1.13200000000001,59,3.06848737249465,0,-1.069,-0.947,0.544,26.4918116450556,90.8653621271111,39.056,38.8782,38.7004,,9000,,
8087,33676.8408981946,1.136,56,4.17103404543368,0,-1.063,-0.946,0.55,26.4918129708889,90.8653780248333,39.145,38.9672,38.7894,,9000,,
8088,33678.4537165346,1.13,57,4.24647682370759,0,-1.071,-0.74,0.551,26.4918143133333,90.8653941291111,39.124,38.9462,38.7684,,9000,,
8089,33680.0196482541,1.136,57,3.58190891964716,0,-1.079,-0.961,0.556,26.4918143571111,90.8654098211111,39.062,38.8842,38.7064,,9000,,
8090,33681.5286286361,1.212,58,3.47327982215129,0,-1.077,-0.96,0.139,26.4918176625833,90.86542444725,38.936,38.7582,38.5804,,9000,,
8091,33683.3766689437,1.204,60,4.1452527641156,0,-1.08,-0.953,0.092,26.4918212472778,90.8654418957778,38.456,38.2782,38.1004,,9000,,
8092,33684.7611115716,1.15600000000001,56,4.15505915045782,0,-1.078,-0.953,0.09,26.4918223248333,90.8654555363333,38.227,38.0492,37.8714,,9000,,
8093,33686.4025057687,1.148,68,4.24968900205937,0,-1.074,-0.728,0.09,26.4918212191667,90.8654710775,37.7,37.5222,37.3444,,9000,,
8094,33687.9083752362,1.11,57,3.44089830386433,0,-1.062,-0.945,0.718,26.4918223669444,90.8654845867778,38.361,38.1832,38.0054,,9000,,
8095,33690.0038717309,1.128,56,3.67894212576988,0,-1.066,-0.945,0.853,26.4918273809167,90.86550192925,39.406,39.2282,39.0504,,9000,,
8096,33691.6600064857,1.15600000000001,57,4.04155688193135,0,-1.074,-0.959,0.81,26.4918292741667,90.8655184025556,39.381,39.2032,39.0254,,9000,,
8097,33693.084654817,1.098,55,3.4358062997784,0,-1.071,-0.955,0.595,26.4918302445556,90.8655326167222,39.477,39.2992,39.1214,,9000,,
8098,33694.3987431736,1.078,55,3.33743247922456,0,-1.083,-0.959,0.609,26.4918332485833,90.8655453575833,39.432,39.2542,39.0764,,9000,,
8099,33695.9772017569,1.054,54,3.87440442643261,0,-1.088,-0.957,0.832,26.4918375179167,90.8655604363333,39.348,39.1702,38.9924,,9000,,
8100,33697.3194126406,1.114,55,3.20256685460253,0,-1.096,-0.959,0.889,26.4918404134444,90.8655733715556,39.535,39.3572,39.1794,,9000,,
8101,33698.751587773,1.148,60,3.25702283118562,0,-1.096,-0.957,0.892,26.4918448813333,90.8655867787778,39.672,39.4942,39.3164,,9000,,
8102,33700.4127714895,1.14400000000001,56,3.55705632715726,0,-1.096,-0.952,0.881,26.4918459193333,90.8656033644167,39.566,39.3882,39.2104,,9000,,
8103,33702.0392315524,1.158,61,3.03277005606039,0,-1.09,-0.948,0.871,26.49184868575,90.8656193714167,39.628,39.4502,39.2724,,9000,,
8104,33703.6491352791,1.22,56,3.02336956209526,0,-1.084,-0.941,0.867,26.4918496715,90.8656354694444,39.685,39.5072,39.3294,,9000,,
8105,33705.1706381364,1.242,56,2.66568523567534,0,-1.085,-0.945,0.895,26.4918497236667,90.8656506715,39.554,39.3762,39.1984,,9000,,
8106,33707.1058087605,1.26000000000001,63,3.40247207844236,0,-1.082,-0.933,0.898,26.4918509249444,90.8656700327778,39.562,39.3842,39.2064,,9000,,
8107,33708.8542637517,1.256,55,2.61965298858131,0,-1.086,-0.936,0.863,26.4918520810833,90.8656875205,39.565,39.3872,39.2094,,9000,,
8108,33710.4120809561,1.262,54,3.50880493988193,0,-1.08,-0.935,0.822,26.4918540199444,90.8657029303889,39.425,39.2472,39.0694,,9000,,
8109,33712.1752626992,1.292,62,4.23815034411832,0,-1.076,-0.939,0.786,26.4918566891667,90.8657202523333,39.23,39.0522,38.8744,,9000,,
8110,33714.0635738578,1.15600000000001,53,2.05425151873189,0,-1.074,-0.941,0.728,26.4918596479444,90.8657388980556,39.269,39.0912,38.9134,,9000,,
8111,33715.7403886745,1.126,58,2.16376419315176,0,-1.079,-0.949,0.766,26.4918619051111,90.8657555135556,39.334,39.1562,38.9784,,9000,,
8112,33717.2557561696,1.15000000000001,59,1.66333349140996,0,-1.082,-0.949,0.742,26.4918631515,90.8657706473889,39.342,39.1642,38.9864,,9000,,
8113,33719.1381894851,1.17,57,2.3719146094231,0,-1.086,-0.952,0.732,26.4918653982222,90.865789359,39.322,39.1442,38.9664,,9000,,
8114,33720.7802436357,1.186,54,1.67092302499613,0,-1.089,-0.955,0.717,26.4918661951667,90.8658057923333,39.381,39.2032,39.0254,,9000,,
8115,33722.3991282496,1.20200000000001,54,2.83994074471971,0,-1.089,-0.958,0.693,26.4918682504167,90.8658216615833,39.636,39.4582,39.2804,,9000,,
8116,33723.9845818157,1.19,58,2.71711785208187,0,-1.084,-0.953,0.685,26.4918706127778,90.8658372285556,39.825,39.6472,39.4694,,9000,,
8117,33725.2926112938,1.24,58,2.9251036890273,0,-1.078,-0.95,0.708,26.4918715928889,90.8658502484445,39.942,39.7642,39.5864,,9000,,
8118,33726.8747878473,1.246,55,3.88875135437078,0,-1.089,-0.95,0.754,26.4918728655,90.8658657000556,40.273,40.0952,39.9174,,9000,,
8119,33728.262275389,1.276,51,2.99015464615893,0,-1.092,-0.947,0.746,26.49187199575,90.8658790816667,40.641,40.4632,40.2854,,9000,,
8120,33731.5734493798,1.274,69,3.38375567698896,0,-1.096,-0.916,0.834,26.4918738376667,90.8658830585833,37.36,37.1822,37.0044,,9000,,
8121,33733.5607309657,1.25,56,1.14227750992784,0,-1.094,-0.948,0.914,26.4918764014167,90.8659027830833,37.342,37.1642,36.9864,,9000,,
8122,33735.2374491087,1.238,61,1.71996207621833,0,-1.094,-0.927,0.98,26.4918771889444,90.8659195747778,37.36,37.1822,37.0044,,9000,,
8123,33736.5489631036,1.23,63,2.04817296029979,0,-1.089,-0.934,0.925,26.4918774601667,90.8659327218333,37.385,37.2072,37.0294,,9000,,
8124,33738.1042224185,1.218,51,1.80630181226339,0,-1.093,-0.934,0.806,26.491880953,90.8659478252778,37.354,37.1762,36.9984,,9000,,
